Index,Value
2.125083579154375457e+03,4.374892347268526578e+02
2.126084562438544708e+03,4.377003627940687807e+02
2.127085545722713960e+03,4.379196865629570539e+02
2.128086529006883211e+03,4.381466433576786130e+02
2.129087512291052008e+03,4.383805908106763241e+02
2.130088495575221259e+03,4.386208133311374695e+02
2.131089478859390510e+03,4.388665293068397659e+02
2.132090462143559307e+03,4.391168989672801217e+02
2.133091445427728559e+03,4.393710328293612406e+02
2.134092428711897810e+03,4.396280006410782448e+02
2.135093411996067061e+03,4.398868407336648261e+02
2.136094395280235858e+03,4.401465696885685475e+02
2.137095378564405110e+03,4.404061922224708496e+02
2.138096361848574361e+03,4.406647111913843560e+02
2.139097345132743158e+03,4.409211376136736362e+02
2.140098328416912409e+03,4.411745006116483410e+02
2.141099311701081660e+03,4.414238571721959374e+02
2.142100294985250912e+03,4.416683016287364012e+02
2.143101278269419709e+03,4.419069747695646129e+02
2.144102261553588960e+03,4.421390724813919633e+02
2.145103244837758211e+03,4.423638538415484618e+02
2.146104228121927008e+03,4.425806485778285264e+02
2.147105211406096259e+03,4.427888638212933188e+02
2.148106194690265511e+03,4.429879900844196641e+02
2.149107177974434762e+03,4.431776064047442674e+02
2.150108161258603559e+03,4.433573846025024636e+02
2.151109144542772810e+03,4.435270926096337121e+02
2.152110127826942062e+03,4.436865968368210815e+02
2.153111111111111313e+03,4.438358635548638631e+02
2.154112094395280110e+03,4.439749592765484749e+02
2.155113077679449361e+03,4.441040501351919261e+02
2.156114060963618613e+03,4.442234002660727583e+02
2.157115044247787409e+03,4.443333692069512608e+02
2.158116027531956661e+03,4.444344083436969299e+02
2.159117010816125912e+03,4.445270564366034023e+02
2.160117994100295164e+03,4.446119342721738690e+02
2.161118977384463960e+03,4.446897384939141489e+02
2.162119960668633212e+03,4.447612346738922611e+02
2.163120943952802463e+03,4.448272496944213685e+02
2.164121927236971715e+03,4.448886635161308618e+02
2.165122910521140511e+03,4.449464004148343292e+02
2.166123893805309763e+03,4.450014197749194977e+02
2.167124877089479014e+03,4.450547065314254951e+02
2.168125860373647811e+03,4.451072613564908806e+02
2.169126843657817062e+03,4.451600906884136748e+02
2.170127826941986314e+03,4.452141967031405443e+02
2.171128810226155565e+03,4.452705673285805688e+02
2.172129793510324362e+03,4.453301664017061512e+02
2.173130776794493613e+03,4.453939240669791957e+02
2.174131760078662865e+03,4.454627275122199990e+02
2.175132743362831661e+03,4.455374121346618494e+02
2.176133726647000913e+03,4.456187532256248005e+02
2.177134709931170164e+03,4.457074582570513144e+02
2.178135693215339415e+03,4.458041598471215821e+02
2.179136676499508212e+03,4.459094094753658624e+02
2.180137659783677464e+03,4.460236720101905803e+02
2.181138643067846715e+03,4.461473211035976192e+02
2.182139626352015512e+03,4.462806354991996045e+02
2.183140609636184763e+03,4.464237962904858819e+02
2.184141592920354014e+03,4.465768851567831348e+02
2.185142576204523266e+03,4.467398835945667770e+02
2.186143559488692063e+03,4.469126731518126121e+02
2.187144542772861314e+03,4.470950366630390818e+02
2.188145526057030565e+03,4.472866604726692685e+02
2.189146509341199817e+03,4.474871376244502130e+02
2.190147492625368614e+03,4.476959719849934345e+02
2.191148475909537865e+03,4.479125832601507682e+02
2.192149459193707116e+03,4.481363128539982199e+02
2.193150442477875913e+03,4.483664305117684421e+02
2.194151425762045164e+03,4.486021416802227577e+02
2.195152409046214416e+03,4.488425955117679678e+02
2.196153392330383667e+03,4.490868934321844677e+02
2.197154375614552464e+03,4.493340981861851446e+02
2.198155358898721715e+03,4.495832432702421215e+02
2.199156342182890967e+03,4.498333426582404968e+02
2.200157325467060218e+03,4.500834007225902837e+02
2.201158308751229015e+03,4.503324222514651183e+02
2.202159292035398266e+03,4.505794224618791759e+02
2.203160275319567518e+03,4.508234369083520505e+02
2.204161258603736314e+03,4.510635311879585174e+02
2.205162241887905566e+03,4.512988103445980528e+02
